F1234	41	42	43	44
W5678	45	46	47	48
S9101	40	45	42	47
O1112	43	44	45	46
C1314	46	47	48	49
P1516	26	27	28	29
R1718	45	45	45	45
F1920	45	45	45	46
W2122	43	50	40	47
S2324	39	41	43	45
O2526	42	43	52	53
C2728	47	40	60	40
P2930	30	32	34	36
R3132	41	42	43	44
F3334	49	48	45	44
W3536	49	48	45	44
S3738	49	48	45	44
O3940	49	48	45	44
C4142	49	48	45	44
P4344	49	48	45	44
R4546	49	48	45	44
F4748	40	40	40	40
W4950	40	40	40	40
S5152	40	40	40	40
O5354	40	40	40	40
C5556	40	40	40	40
P5758	40	40	40	40
R5960	40	40	40	40
